titulo,ubicacion,precio_valor,precio_moneda,dorms,banos,baños,superficie_m2,imagen_url,fuente,url
Habitacion Individual Residencia Pensión Alojamiento Para Chicas Que Estudian O Trabajan Montevideo,"Lima Y Justicia SN, Tres Cruces, Montevideo",12000,$,N/A,3,3,100,https://http2.mlstatic.com/D_NQ_NP_2X_897752-MLU42677648923_072020-E.webp,MercadoLibre,https://inmueble.mercadolibre.com.uy/MLU-907491706-habitacion-individual-residencia-pension-alojamiento-para-chicas-que-estudian-o-trabajan-montevideo-_JM
Piriapolis; Cabaña Dos Dormitorios; Piscina Climatizada,"Calle 12 Entre La 8 Y La 9 Ente Parada 15 Y 14 La Tijereta, Playa Hermosa, Maldonado",75,US$,2,1,1,250,https://http2.mlstatic.com/D_NQ_NP_2X_904503-MLU46765418372_072021-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-912836432-piriapolis-cabana-dos-dormitorios-piscina-climatizada-_JM
Alquiler Apartamento Buceo - 1 Dormitorio Amplio Y Muy Soleado.- Jose Btalle Y Ordoñez Y Neyra,"Bv. José Batlle Y Ordóñez 2142, 11400 Montevideo, Departamento De Montevideo, Uruguay, Buceo, Montevideo",21900,$,1,1,1,45,https://http2.mlstatic.com/D_NQ_NP_2X_943088-MLU85009109112_052025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-910074032-alquiler-apartamento-buceo-1-dormitorio-amplio-y-muy-soleado-jose-btalle-y-ordonez-y-neyra-_JM
Chacra B Solis. Sausalito Disponible Todo El Año.,"Burgueño 1, Solís, Maldonado",300,US$,5,3,3,470,https://http2.mlstatic.com/D_NQ_NP_2X_10603-MLU20031781335_012014-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-868232724-chacra-b-solis-sausalito-disponible-todo-el-ano-_JM
Disfruta De La Tranquilidad En Punta Colorada,"56 SN, P. Coloradas, Maldonado",250,US$,2,2,2,78,https://http2.mlstatic.com/D_NQ_NP_2X_812131-MLU77797964968_072024-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-907489790-disfruta-de-la-tranquilidad-en-punta-colorada-_JM
Amplia Habitación Individual Con Baño Privado,"Av. 18 De Julio 1290, Montevideo, Centro, Montevideo",21000,$,N/A,2,2,20,https://http2.mlstatic.com/D_NQ_NP_2X_632401-MLU83968143566_052025-E.webp,MercadoLibre,https://inmueble.mercadolibre.com.uy/MLU-922313756-amplia-habitacion-individual-con-bano-privado-_JM
La Paloma . Frente Al Mar . Cabañas De Cara Al Sol,"FRENTE AL MAR LA AGUADA 2000, La Paloma, Rocha",3800,$,2,1,1,70,https://http2.mlstatic.com/D_NQ_NP_2X_713-MLU4711811449_072013-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-907483244-la-paloma-frente-al-mar-cabanas-de-cara-al-sol-_JM
Casa En Alquiler Temporada En Barra De Chuí Brasil,"Barra Brasileña  Calle 9 Esq 12 366, Barra Del Chuy, Rocha",2600,$,2,1,1,300,https://http2.mlstatic.com/D_NQ_NP_2X_825661-MLU47533715898_092021-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-875605584-casa-en-alquiler-temporada-en-barra-de-chui-brasil-_JM
San Francisco - Punta Colorada - Piriapolis -  51 Mts Del Mar - Estufa A Leña Consulte Por Wsp Por Otra Casa Mas,"Calle 1, Punta Colorada Departamento De Maldonado, Uruguay, San Francisco, Maldonado",1,US$,3,2,2,150,https://http2.mlstatic.com/D_NQ_NP_2X_699871-MLU69786392012_062023-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-935722160-san-francisco-punta-colorada-piriapolis-51-mts-del-mar-estufa-a-lena-consulte-por-wsp-por-otra-casa-mas-_JM
Termas De Guaviyú. Casa California,"Zona Residencial 14, Termas De Guaviyu, Paysandú",4600,$,3,2,2,250,https://http2.mlstatic.com/D_NQ_NP_2X_670605-MLU25027899375_082016-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-889083726-termas-de-guaviyu-casa-california-_JM
Casa Con Pileta 3 Dormitorios 2 Baños,"34H6+5C Punta Del Este, Maldonado Department, Uruguay, Rincón Del Indio, Punta Del Este, Maldonado",160,US$,3,2,2,250,https://http2.mlstatic.com/D_NQ_NP_2X_958513-MLU40516469398_012020-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-653773117-casa-con-pileta-3-dormitorios-2-banos-_JM
Comodo Monoambiente Totalmente Equipado En Pocitos  A Mts Del Mar,"Manuel Vicente Pagola 3210, Montevideo Departamento De Montevideo, Uruguay, Pocitos, Montevideo",37,US$,1,1,1,30,https://http2.mlstatic.com/D_NQ_NP_2X_721735-MLU50199168529_062022-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-887533656-comodo-monoambiente-totalmente-equipado-en-pocitos-a-mts-del-mar-_JM
Alquiler Chacra Casa De Campo. Con Piscina Y Yacuzzi Climat,"Ruta 39 SN, Partido Norte, Maldonado",250,US$,2,3,3,260,https://http2.mlstatic.com/D_NQ_NP_2X_605646-MLU85293502330_062025-E.webp,MercadoLibre,https://inmueble.mercadolibre.com.uy/MLU-852934000-alquiler-chacra-casa-de-campo-con-piscina-y-yacuzzi-climat-_JM
Rambla Frente Al Mar Oferta 5000 Pesos El Fin De Semana Desde Viernes De Tarde A Domingo De Tarde,"Rbla. De Los Argentinos 4566, 20200 Piriápolis, Departamento De Maldonado, Uruguay, Piriápolis, Maldonado",2500,$,2,1,1,75,https://http2.mlstatic.com/D_NQ_NP_2X_890529-MLU79692084572_102024-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-700723584-rambla-frente-al-mar-oferta-5000-pesos-el-fin-de-semana-desde-viernes-de-tarde-a-domingo-de-tarde-_JM
Cabañas Con Piscina  Costa Azul Bello Horizonte Canelones,"Calle 25 00, Bello Horizonte, Canelones",2700,$,1,1,1,45,https://http2.mlstatic.com/D_NQ_NP_2X_766008-MLU32679712865_102019-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-889266874-cabanas-con-piscina-costa-azul-bello-horizonte-canelones-_JM
Casa Con Piscina Climatizada Y Sala De Juegos Barra Del Chuy,"Los Ceibos Esq. Av. Gral. Artigas  SN, Barra Del Chuy, Rocha",100,US$,2,1,1,80,https://http2.mlstatic.com/D_NQ_NP_2X_949460-MLU81697329075_122024-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-907493456-casa-con-piscina-climatizada-y-sala-de-juegos-barra-del-chuy-_JM
Excelente Monoambiente Frente Al Hotel Enjoy Conrad Punta Del Este,"BUS 0155, Av Chiverta, 20100 Punta Del Este, Departamento De Maldonado, Uruguay, Punta Del Este, Maldonado",80,US$,1,1,1,42,https://http2.mlstatic.com/D_NQ_NP_2X_637799-MLU25954944085_092017-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-852921628-excelente-monoambiente-frente-al-hotel-enjoy-conrad-punta-del-este-_JM
"Penthouse Duplex, Peninsula, 3d,2b, 1ra Fila,barbacoa,garaje,muca,terrazas, Piscina.","23M4+PQP, Rbla. Gral. Artigas, 20100 Punta Del Este, Departamento De Maldonado, Uruguay, Península, Punta Del Este, Maldonado",70,US$,3,2,2,70,https://http2.mlstatic.com/D_NQ_NP_2X_763540-MLU73684442814_012024-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-880986204-penthouse-duplex-peninsula-3d2b-1ra-filabarbacoagarajemucaterrazas-piscina-_JM
"Casa Céntrica 4 Cuadras De Playa Mansa, Alquiler Atlantida","Avenida Artigas Y Calle 26 1010, Atlántida, Canelones",2000,$,1,1,1,50,https://http2.mlstatic.com/D_NQ_NP_2X_22024-MLU20222435414_012015-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-826947980-casa-centrica-4-cuadras-de-playa-mansa-alquiler-atlantida-_JM
"Casa De Muy Buena Construcción, A 4 Cuadras De La Playa. En P 39 De Pinares, 5 Dormitorios, Desde Usd 160","Ofiuco 22, 20000 Maldonado, Departamento De Maldonado, Uruguay, Pinares, Maldonado",160,US$,5,3,3,256,https://http2.mlstatic.com/D_NQ_NP_2X_760497-MLU79720061178_102024-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-887630208-casa-de-muy-buena-construccion-a-4-cuadras-de-la-playa-en-p-39-de-pinares-5-dormitorios-desde-usd-160-_JM
Alquiler Casa Punta Gorda,"Av San Marino 1411, Montevideo, Punta Gorda, Montevideo",45000,$,3,2,2,200,https://http2.mlstatic.com/D_NQ_NP_2X_789037-MLU97008669838_112025-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-915925566-alquiler-casa-punta-gorda-_JM
Verano 2026!!! Casa Para 4. P A Solo 50mts De La Rambla,"Calle 3 11, Santa Lucía Del Este, Canelones",2800,$,2,1,1,50,https://http2.mlstatic.com/D_NQ_NP_2X_675047-MLU80842480071_112024-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-887609228-verano-2026-casa-para-4-p-a-solo-50mts-de-la-rambla-_JM
Playa Verde-proa Al Mar Parada 13 Y Maldonado,"Parada 13 Y Maldonado 13, Playa Verde, Maldonado",100,US$,3,2,2,120,https://http2.mlstatic.com/D_NQ_NP_2X_942748-MLU29157320898_012019-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-853026894-playa-verde-proa-al-mar-parada-13-y-maldonado-_JM
"Punta Del Diablo, Frente Al Mar La  Mejor Vista Y Ubicacion , Invierno Promos","XF46+366, 27204 Punta Del Diablo, Rocha Department, Uruguay, Punta Del Diablo, Rocha",1,$,1,1,1,50,https://http2.mlstatic.com/D_NQ_NP_2X_973226-MLU69307361605_052023-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-816505914-punta-del-diablo-frente-al-mar-la-mejor-vista-y-ubicacion-invierno-promos-_JM
"Alquilo Casa En Piriapolis, Playa Hermosa.","Calle 23 Playa Grande 23, Piriápolis, Maldonado",1500,$,1,1,1,25,https://http2.mlstatic.com/D_NQ_NP_2X_933164-MLU42041983115_062020-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-898470760-alquilo-casa-en-piriapolis-playa-hermosa-_JM
Domos Del Plata Geodesicos Los Pinos Minas Lavalleja,"HP35+34 Minas, Lavalleja Department, Uruguay, Minas, Lavalleja",170,US$,1,1,1,150,https://http2.mlstatic.com/D_NQ_NP_2X_983620-MLU73243160540_122023-E.webp,MercadoLibre,https://inmueble.mercadolibre.com.uy/MLU-853079086-domos-del-plata-geodesicos-los-pinos-minas-lavalleja-_JM
"Casa Ceibo Termas Dayman,salto 0","Ceibo SN, Termas Del Dayman, Salto",2200,$,1,1,1,40,https://http2.mlstatic.com/D_NQ_NP_2X_961709-MLU76249746689_052024-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-853065736-casa-ceibo-termas-daymansalto-0-_JM
Apartamento De Un Dormitori  Para 3 O 4 Personas. Baja Tempo,"Argentina Casi España 0, Costa Azul, Canelones",1500,$,2,1,1,50,https://http2.mlstatic.com/D_NQ_NP_2X_602138-MLU46926941578_072021-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-935803520-apartamento-de-un-dormitori-para-3-o-4-personas-baja-tempo-_JM
Peco En Punta Del Diablo,"Punta Del Diablo - Sur, Punta Del Diablo, Rocha",130,US$,3,2,2,11,https://http2.mlstatic.com/D_NQ_NP_2X_616403-MLU54085862583_032023-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-455072317-peco-en-punta-del-diablo-_JM
Se Alquila Apartamento De Tres Dormitorios Y Cochera En Buceo,"Taruman, Montevideo, Buceo, Montevideo",31000,$,3,1,1,59,https://http2.mlstatic.com/D_NQ_NP_2X_676780-MLU95290099750_102025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-907541104-se-alquila-apartamento-de-tres-dormitorios-y-cochera-en-buceo-_JM
Casa Para Alquiler Temporal,"Punta Del Diablo SN, Punta Del Diablo, Rocha",2000,$,2,1,1,40,https://http2.mlstatic.com/D_NQ_NP_2X_620537-MLU52957203834_122022-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-653441113-casa-para-alquiler-temporal-_JM
Mate Amargo ¨tiny House¨ En Punta Del Diablo,"Punta Del Diablo - Playa De La Viuda, Punta Del Diablo, Rocha",33,US$,1,1,1,27,https://http2.mlstatic.com/D_NQ_NP_2X_871397-MLU96698960498_112025-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-465517937-mate-amargo-tiny-house-en-punta-del-diablo-_JM
Atlantida A Media Cuadra De La Playa Y A Tres Cuadras Del Centro,"República Del Paraguay 42, 15200 Atlántida, Departamento De Canelones, Uruguay, Atlántida, Canelones",60,US$,1,1,1,50,https://http2.mlstatic.com/D_NQ_NP_2X_699053-MLU79706286287_102024-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-853030160-atlantida-a-media-cuadra-de-la-playa-y-a-tres-cuadras-del-centro-_JM
Casa Domo En La Playa Del Pinar- Naturaleza- Mensual/anual,"Gaboto Y Colón  SN, El Pinar, Canelones",60000,$,2,1,1,200,https://http2.mlstatic.com/D_NQ_NP_2X_998950-MLU93572930281_092025-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-853043694-casa-domo-en-la-playa-del-pinar-naturaleza-mensualanual-_JM
Apartamento Alquiler Temporario Centro Montevideo,"Julio Herrera Y Obes 1128, Barrio Sur, Montevideo",28,US$,1,1,1,32,https://http2.mlstatic.com/D_NQ_NP_2X_896146-MLU50037779028_052022-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-907557072-apartamento-alquiler-temporario-centro-montevideo-_JM
Hermosa Casa En Punta Del Diablo Con Amplia Vista Al Mar,"Simon Bolivar 4545, Punta Del Diablo, Rocha",1,US$,2,1,1,100,https://http2.mlstatic.com/D_NQ_NP_2X_996811-MLU20637188522_032016-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-907535224-hermosa-casa-en-punta-del-diablo-con-amplia-vista-al-mar-_JM
Alquiler De Casa En Punta Rubia,"Rocha, Punta Rubia",100,US$,2,1,1,64,https://http2.mlstatic.com/D_NQ_NP_2X_922141-MLU76897340097_062024-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-710970518-alquiler-de-casa-en-punta-rubia-_JM
Alquiler Temporada Alta Y Baja Cómoda Casa Playa Punta Negra,"Panama Esquina Ecuador SN, Punta Negra, Maldonado",110,US$,2,1,1,72,https://http2.mlstatic.com/D_NQ_NP_2X_736159-MLU52526356668_112022-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-863294402-alquiler-temporada-alta-y-baja-comoda-casa-playa-punta-negra-_JM
Alquiler Apartamento Monoambiente En Punta Carretas Con Terraza,"Av. Sarmiento Y Franzini, Punta Carretas, Montevideo",23900,$,1,1,1,28,https://http2.mlstatic.com/D_NQ_NP_2X_947572-MLU92453953878_092025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-873238974-alquiler-apartamento-monoambiente-en-punta-carretas-con-terraza-_JM
Apartamento Alquiler Tres Cruces,"Acevedo Díaz 1665, 11200 Montevideo, Departamento De Montevideo, Uruguay, Tres Cruces, Montevideo",22800,$,N/A,1,1,27,https://http2.mlstatic.com/D_NQ_NP_2X_720835-MLU95210403673_102025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-898356606-apartamento-alquiler-tres-cruces-_JM
"Apt. Totalmente Remodelado, Cercanias De Avd Gral.flores, Facultad Medicina, Quimica, Mam, Zona Mayorista, Exlocomoción, Todos Los Servicios","Dr. Domingo Aramburu 1500 - 1800, Montevideo, Goes, Montevideo",28000,$,2,1,1,65,https://http2.mlstatic.com/D_NQ_NP_2X_614130-MLU85731754520_062025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-653558237-apt-totalmente-remodelado-cercanias-de-avd-gralflores-facultad-medicina-quimica-mam-zona-mayorista-exlocomocion-todos-los-servicios-_JM
"Alquiler 1 Dormitorio A Estrenar + Balcón - Tres Cruces, Ventura Go","Acevedo Díaz Esq, 11200 Montevideo, Departamento De Montevideo, Uruguay, Tres Cruces, Montevideo",28600,$,1,1,1,46,https://http2.mlstatic.com/D_NQ_NP_2X_891991-MLU91624390488_092025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-853106756-alquiler-1-dormitorio-a-estrenar-balcon-tres-cruces-ventura-go-_JM
Alquiler Apartamento Un Dormitorio Maroñas,"Alférez Real 2571, Montevideo, Maroñas, Montevideo",12000,$,1,1,1,25,https://http2.mlstatic.com/D_NQ_NP_2X_744145-MLU95935513803_102025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-907402496-alquiler-apartamento-un-dormitorio-maronas-_JM
"Habitaciones, Cuartos, Alojamiento, Residencia, Pension, Piezas, Hogar, Vista Al Mar","Río Negro 1093, Montevideo Departamento De Montevideo, Uruguay, Barrio Sur, Montevideo",8900,$,N/A,7,7,750,https://http2.mlstatic.com/D_NQ_NP_2X_649607-MLU69666099586_052023-E.webp,MercadoLibre,https://inmueble.mercadolibre.com.uy/MLU-894143758-habitaciones-cuartos-alojamiento-residencia-pension-piezas-hogar-vista-al-mar-_JM
Impecable!!! Dupléx 2 Dormitorios. Dueño Alquila,"Igualdad 1109, Montevideo, Aires Puros, Montevideo",22000,$,2,1,1,40,https://http2.mlstatic.com/D_NQ_NP_2X_636673-MLU96948547207_112025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-913943986-impecable-duplex-2-dormitorios-dueno-alquila-_JM
Se Alquila Oficina Ciudad Vieja,"Zabala 1379, Ciudad Vieja, Montevideo",8500,$,N/A,1,1,25,https://http2.mlstatic.com/D_NQ_NP_2X_646413-MLU87795163810_072025-E.webp,MercadoLibre,https://inmueble.mercadolibre.com.uy/MLU-653584357-se-alquila-oficina-ciudad-vieja-_JM
Casa Tristan- Residencia Estudiantil En Centro De Motevideo,"Dr. Tristán Narvaja 1632, Montevideo, Cordón, Montevideo",10000,$,N/A,N/A,N/A,20,https://http2.mlstatic.com/D_NQ_NP_2X_940756-MLU83648926519_042025-E.webp,MercadoLibre,https://inmueble.mercadolibre.com.uy/MLU-898328096-casa-tristan-residencia-estudiantil-en-centro-de-motevideo-_JM
"Apartamento De 1 Dormitorio Equipado + Garage - Ventura Boulevard, Buceo","Bv. José Batlle Y Ordóñez 2427, Montevideo, Buceo, Montevideo",37000,$,1,1,1,36,https://http2.mlstatic.com/D_NQ_NP_2X_682192-MLU92972696598_092025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-876726622-apartamento-de-1-dormitorio-equipado-garage-ventura-boulevard-buceo-_JM
Apartamento En Alquiler En Av. Brasil Con Amenities,"Av. Brasil, Montevideo, Pocitos, Montevideo",34000,$,1,1,1,41,https://http2.mlstatic.com/D_NQ_NP_2X_823179-MLU93858290583_092025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-880936984-apartamento-en-alquiler-en-av-brasil-con-amenities-_JM
"Alquiler Apartamento Sin Gastos Comunes, Reciclado.","Gral. Felipe Fraga 2198, 11800 Montevideo, Departamento De Montevideo, Uruguay, Aguada, Montevideo",33300,$,2,1,1,62,https://http2.mlstatic.com/D_NQ_NP_2X_655958-MLU94795920492_102025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-898382954-alquiler-apartamento-sin-gastos-comunes-reciclado-_JM
Alquiler 1 Dormitorio + Balcón + Garage - La Blanqueada,"Av. Luis Alberto De Herrera 2592, 11600 Montevideo, Departamento De Montevideo, Uruguay, La Blanqueada, Montevideo",30500,$,1,1,1,37,https://http2.mlstatic.com/D_NQ_NP_2X_762497-MLU91035091274_092025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-848770344-alquiler-1-dormitorio-balcon-garage-la-blanqueada-_JM
Casa En San Gregorio De Polanco,"Gral. Jose Gervasio Artigas 55, San Gregorio De Polanco, San Gregorio De Polanco, Tacuarembó",2400,$,2,1,1,220,https://http2.mlstatic.com/D_NQ_NP_2X_700716-MLU81195574857_122024-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-889273396-casa-en-san-gregorio-de-polanco-_JM
"Dueño Alquila Ventura Carrasco Tower, A Estrenar! Divina Esquina Norte De 3 Dormitorios, 2 Baños Y Dos Garages.","Faros De Carrasco, Av. De Las Américas 7775, Montevideo, Parque Miramar, Canelones",65000,$,3,2,2,89,https://http2.mlstatic.com/D_NQ_NP_2X_873767-MLU96042000256_102025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-922325642-dueno-alquila-ventura-carrasco-tower-a-estrenar-divina-esquina-norte-de-3-dormitorios-2-banos-y-dos-garages-_JM
Sin Garantía.malvin A Metros De La Playa,"Rio De La Plata 1394, Malvin, Montevideo",28000,$,1,1,1,30,https://http2.mlstatic.com/D_NQ_NP_2X_701739-MLU89231923969_082025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-896092578-sin-garantiamalvin-a-metros-de-la-playa-_JM
"Casa Para 10 O Mas Personas, Familias Grandes O Grupos De Amigos","Blvr. Gral. Jose Gervasio Artigas, Punta Del Este, Cantegril, Punta Del Este, Maldonado",170,US$,5,4,4,1,https://http2.mlstatic.com/D_NQ_NP_2X_664119-MLU84269856039_052025-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-653798451-casa-para-10-o-mas-personas-familias-grandes-o-grupos-de-amigos-_JM
Dueño Alquila: ¡apartamento Con Patio Ideal Para Familias En Pocitos Con Vista A La Rambla! Con 2 Garages,"Federico N. Abadie, Montevideo, Pocitos, Montevideo",2100,US$,5,3,3,180,https://http2.mlstatic.com/D_NQ_NP_2X_982310-MLU97333937095_112025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-896065632-dueno-alquila-apartamento-con-patio-ideal-para-familias-en-pocitos-con-vista-a-la-rambla-con-2-garages-_JM
Casa A Estrenar Estilo Americana 2 Dormitorios 2 Baños Barrio Privado,"Ruta Gral. Líber Seregni Km22.5, 15000 Ciudad De La Costa, Departamento De Canelones, Uruguay, Aeropuerto Internacional De Carrasco, Canelones",49000,$,2,2,2,100,https://http2.mlstatic.com/D_NQ_NP_2X_690387-MLU95627904888_102025-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-912996976-casa-a-estrenar-estilo-americana-2-dormitorios-2-banos-barrio-privado-_JM
Linda Casa En Montoya - Punta Del Este,"Punta Del Este, Maldonado",1600,US$,3,3,3,200,https://http2.mlstatic.com/D_NQ_NP_2X_765644-MLU93305344887_092025-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-876801426-linda-casa-en-montoya-punta-del-este-_JM
Alquiler De Apartamento Por Temporada En Punta Del Este,"Luxemburgo MARTINIANO CHIOSSI, Maldonado, Playa Mansa, Punta Del Este, Maldonado",200,US$,2,2,2,3,https://http2.mlstatic.com/D_NQ_NP_2X_932939-MLU94884142675_102025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-653573571-alquiler-de-apartamento-por-temporada-en-punta-del-este-_JM
